objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
41,service-pnp-agc-7a05000-7a05100-7a05187v.jpg,,service-pnp-agc-7a05000-7a05100-7a05187v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
42,service-pnp-agc-7a05000-7a05100-7a05189v.jpg,,service-pnp-agc-7a05000-7a05100-7a05189v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
43,service-pnp-agc-7a05000-7a05100-7a05191v.jpg,,service-pnp-agc-7a05000-7a05100-7a05191v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
44,service-pnp-agc-7a05000-7a05100-7a05192v.jpg,,service-pnp-agc-7a05000-7a05100-7a05192v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
45,service-pnp-agc-7a05000-7a05100-7a05193v.jpg,,service-pnp-agc-7a05000-7a05100-7a05193v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
46,service-pnp-agc-7a05000-7a05100-7a05195v.jpg,,service-pnp-agc-7a05000-7a05100-7a05195v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
47,service-pnp-agc-7a05000-7a05100-7a05196v.jpg,,service-pnp-agc-7a05000-7a05100-7a05196v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
48,service-pnp-agc-7a05000-7a05100-7a05197v.jpg,,service-pnp-agc-7a05000-7a05100-7a05197v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
49,service-pnp-agc-7a05000-7a05100-7a05198v.jpg,,service-pnp-agc-7a05000-7a05100-7a05198v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
50,service-pnp-agc-7a05000-7a05100-7a05199v.jpg,,service-pnp-agc-7a05000-7a05100-7a05199v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
51,service-pnp-agc-7a05000-7a05200-7a05201v.jpg,,service-pnp-agc-7a05000-7a05200-7a05201v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
52,service-pnp-agc-7a05000-7a05200-7a05202v.jpg,,service-pnp-agc-7a05000-7a05200-7a05202v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
53,service-pnp-agc-7a05000-7a05200-7a05203v.jpg,,service-pnp-agc-7a05000-7a05200-7a05203v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
54,service-pnp-agc-7a05000-7a05200-7a05204v.jpg,,service-pnp-agc-7a05000-7a05200-7a05204v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
55,service-pnp-agc-7a05000-7a05200-7a05205v.jpg,,service-pnp-agc-7a05000-7a05200-7a05205v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
56,service-pnp-agc-7a05000-7a05200-7a05206v.jpg,,service-pnp-agc-7a05000-7a05200-7a05206v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
57,service-pnp-agc-7a05000-7a05200-7a05207v.jpg,,service-pnp-agc-7a05000-7a05200-7a05207v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
58,service-pnp-agc-7a05000-7a05200-7a05208v.jpg,,service-pnp-agc-7a05000-7a05200-7a05208v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
59,service-pnp-agc-7a05000-7a05200-7a05210v.jpg,,service-pnp-agc-7a05000-7a05200-7a05210v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
60,service-pnp-agc-7a05000-7a05200-7a05211v.jpg,,service-pnp-agc-7a05000-7a05200-7a05211v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
61,service-pnp-agc-7a05000-7a05200-7a05213v.jpg,,service-pnp-agc-7a05000-7a05200-7a05213v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
62,service-pnp-agc-7a05000-7a05200-7a05214v.jpg,,service-pnp-agc-7a05000-7a05200-7a05214v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
63,service-pnp-agc-7a05000-7a05200-7a05215v.jpg,,service-pnp-agc-7a05000-7a05200-7a05215v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
64,service-pnp-agc-7a05000-7a05200-7a05216v.jpg,,service-pnp-agc-7a05000-7a05200-7a05216v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
65,service-pnp-agc-7a05000-7a05200-7a05217v.jpg,,service-pnp-agc-7a05000-7a05200-7a05217v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
66,service-pnp-agc-7a05000-7a05200-7a05220v.jpg,,service-pnp-agc-7a05000-7a05200-7a05220v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
67,service-pnp-agc-7a05000-7a05200-7a05221v.jpg,,service-pnp-agc-7a05000-7a05200-7a05221v.jpg,image/jpeg,description needed,,,1908,yes,,,,,,,,,,,,,,,,
